,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree UCB1,2024-10-02,46.71527777777778,39.087777777777774,18.501984126984127,38.004444444444445,18.251984126984127,38.504444444444445,18.001984126984127,38.254444444444445,18.501984126984127,38.004444444444445
MABTree UCB1,2024-10-03,84.86458333333334,78.62597222222222,57.04017857142857,77.54263888888889,56.79017857142857,78.04263888888889,56.54017857142857,77.79263888888889,57.04017857142857,77.54263888888889
MABTree UCB1,2024-10-04,129.4357638888889,125.07215277777777,103.48635912698413,123.98881944444445,103.23635912698413,124.48881944444445,102.98635912698413,124.23881944444445,103.48635912698413,123.98881944444445
MABTree UCB1,2024-10-05,159.73736111111114,152.24152777777778,130.65573412698413,151.15819444444443,130.40573412698413,151.65819444444443,130.15573412698413,151.40819444444443,130.65573412698413,151.15819444444443
MABTree UCB1,2024-10-06,201.94812500000003,194.45229166666667,172.86649801587302,193.36895833333332,172.61649801587302,193.86895833333332,172.36649801587302,193.61895833333332,172.86649801587302,193.36895833333332
MABTree UCB1,2024-10-07,245.36020833333336,237.789375,215.70358134920636,236.70604166666666,215.45358134920636,237.20604166666666,215.20358134920636,236.95604166666666,215.70358134920636,236.70604166666666
MABTree UCB1,2024-10-08,289.5315972222223,281.0940972222222,259.10830357142856,280.0107638888889,258.85830357142856,280.5107638888889,258.60830357142856,280.2607638888889,259.10830357142856,280.0107638888889
MABTree UCB1,2024-10-09,330.0538194444445,320.7496527777778,299.2038591269841,319.10631944444447,298.9538591269841,319.60631944444447,298.7038591269841,319.35631944444447,299.2038591269841,319.10631944444447
MABTree UCB1,2024-10-10,374.2587500000001,362.2889583333333,340.7431646825397,360.645625,340.4931646825397,361.145625,340.2431646825397,360.895625,340.7431646825397,360.645625
MABTree UCB1,2024-10-11,430.2434027777779,417.3986111111111,397.3528174603175,415.7552777777778,397.1028174603175,416.2552777777778,396.8528174603175,416.0052777777778,397.3528174603175,415.7552777777778
MABTree UCB1,2024-10-12,460.0236111111112,449.17881944444446,429.13302579365086,447.53548611111114,428.88302579365086,448.03548611111114,428.63302579365086,447.78548611111114,429.13302579365086,447.53548611111114
MABTree UCB1,2024-10-13,494.2024305555557,482.24652777777777,462.3118452380953,480.60319444444445,462.0618452380953,481.10319444444445,461.8118452380953,480.85319444444445,462.3118452380953,480.60319444444445
MABTree UCB1,2024-10-14,532.6752777777779,521.234375,500.24969246031753,519.5910416666667,499.99969246031753,520.0910416666667,499.74969246031753,519.8410416666667,500.24969246031753,519.5910416666667
MABTree UCB1,2024-10-15,580.6519444444446,570.7704166666666,548.7857341269842,569.1270833333333,548.5357341269842,569.6270833333333,548.2857341269842,569.3770833333333,548.7857341269842,569.1270833333333
